Thu Apr  6 00:44:02 2023    profile_worker_32537.prof

         203717 function calls (197819 primitive calls) in 9.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      503    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      500    0.001    0.000    0.121    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:747(do_execute)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:1075(_connection_for_bind)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/identity.py:112(check_modified)
      400    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:631(__new__)
      500    0.001    0.000    0.018    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:113(<listcomp>)
      100    0.001    0.000    0.001    0.000 /usr/lib/python3.8/socket.py:732(close)
     2400    0.001    0.000    0.001    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:3132(__init__)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/dialects/postgresql/psycopg2.py:556(_log_notices)
      500    0.001    0.000    0.057    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:1468(operate)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1397(executemany)
     1025    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
2436/2435    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      500    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:4125(flush)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:243(<listcomp>)
      200    0.001    0.000    0.003    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/operators.py:2441(is_associative)
      500    0.001    0.000    0.015    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:593(onerow)
      504    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/instrumentation.py:249(is_mapped)
      300    0.001    0.000    0.001    0.000 /usr/lib/python3.8/codecs.py:309(__init__)
      100    0.001    0.000    0.001    0.000 /usr/lib/python3.8/_bootlocale.py:33(getpreferredencoding)
      509    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:882(_gen_cache_key)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/dialects/postgresql/psycopg2.py:553(post_exec)
      501    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:2559(_get_entity_clauses)
      200    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:701(__str__)
      100    0.001    0.000    0.001    0.000 {method 'getsockname' of '_socket.socket' objects}
      100    0.001    0.000    0.001    0.000 /usr/lib/python3.8/codecs.py:319(decode)
      200    0.001    0.000    0.002    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:2523(get_bind)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/sqltypes.py:227(_resolve_for_literal)
      100    0.001    0.000    0.001    0.000 {built-in method _locale.nl_langinfo}
      200    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      500    0.000    0.000    0.004    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:2103(_fetchall_impl)
     1224    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      200    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      500    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:1520(for_context)
      200    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:385(__init__)
      500    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/operators.py:2422(is_boolean)
      100    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:519(_inc_counter)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:164(<listcomp>)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:256(<dictcomp>)
      500    0.000    0.000    0.000    0.000 {sqlalchemy.cyextension.util._distill_params_20}
      500    0.000    0.000    0.000    0.000 {method 'close' of 'psycopg2.extensions.cursor' objects}
     1035    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      500    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:2309(to_instance)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1294(<dictcomp>)
      100    0.000    0.000    0.013    0.000 /usr/lib/python3.8/socket.py:655(readinto)
      500    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:2180(_safe_close_cursor)
      500    0.000    0.000    0.001    0.000 <string>:1(__new__)
     1500    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      200    0.000    0.000    0.010    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
      501    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
     1530    0.000    0.000    0.000    0.000 /usr/lib/python3.8/typing.py:1149(cast)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/coercions.py:817(_post_coercion)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:130(coerce_to_immutabledict)
      100    0.000    0.000    0.006    0.000 /usr/lib/python3.8/socket.py:678(write)
      100    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:486(_decref_socketios)
      501    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/operators.py:2399(is_comparison)
      400    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:694(readable)
